,날짜,전국,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,세종,경북,경남,제주
37,05-20,14,14,12,14,19,11,14,14,15,11,13,15,14,15,12,14,15,17
38,05-19,11,12,9,8,16,7,8,10,13,9,10,14,9,7,9,11,8,9
39,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
40,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
41,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
42,05-22,28,29,27,30,34,20,24,30,31,28,29,31,30,23,24,30,25,18
43,05-21,18,22,18,19,21,7,13,22,22,22,18,16,12,8,12,18,16,13
44,05-20,14,14,12,14,19,11,14,14,15,11,13,15,14,15,12,14,15,17
45,05-19,11,12,9,8,16,7,8,10,13,9,10,14,9,7,9,11,8,9
46,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
47,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
48,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
49,05-22,28,29,27,30,34,20,24,30,31,28,29,31,30,23,24,30,25,18
50,05-21,18,22,18,19,21,7,13,22,22,22,18,16,12,8,12,18,16,13
51,05-20,14,14,12,14,19,11,14,14,15,11,13,15,14,15,12,14,15,17
52,05-19,11,12,9,8,16,7,8,10,13,9,10,14,9,7,9,11,8,9
53,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
54,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
55,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
56,05-22,28,29,27,30,34,20,24,30,31,28,29,31,30,23,24,30,25,18
57,05-21,18,22,18,19,21,7,13,22,22,22,18,16,12,8,12,18,16,13
58,05-20,14,14,12,14,19,11,14,14,15,11,13,15,14,15,12,14,15,17
59,05-19,11,12,9,8,16,7,8,10,13,9,10,14,9,7,9,11,8,9
60,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
61,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
62,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
63,05-22,28,29,27,30,34,20,24,30,31,28,29,31,30,23,24,30,25,18
64,05-21,18,22,18,19,21,7,13,22,22,22,18,16,12,8,12,18,16,13
65,05-20,14,14,12,14,19,11,14,14,15,11,13,15,14,15,12,14,15,17
66,05-19,11,12,9,8,16,7,8,10,13,9,10,14,9,7,9,11,8,9
67,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
68,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
69,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
70,05-22,28,29,27,30,34,20,24,30,31,28,29,31,30,23,24,30,25,18
71,05-21,18,22,18,19,21,7,13,22,22,22,18,16,12,8,12,18,16,13
72,05-20,14,14,12,14,19,11,14,14,15,11,13,15,14,15,12,14,15,17
73,05-19,11,12,9,8,16,7,8,10,13,9,10,14,9,7,9,11,8,9
74,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
75,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
76,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
77,05-22,28,29,27,30,34,20,24,30,31,28,29,31,30,23,24,30,25,18
78,05-21,18,22,18,19,21,7,13,22,22,22,18,16,12,8,12,18,16,13
79,05-20,14,14,12,14,19,11,14,14,15,11,13,15,14,15,12,14,15,17
80,05-19,11,12,9,8,16,7,8,10,13,9,10,14,9,7,9,11,8,9
81,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
82,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
83,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
84,05-22,28,29,27,30,34,20,24,30,31,28,29,31,30,23,24,30,25,18
85,05-21,18,22,18,19,21,7,13,22,22,22,18,16,12,8,12,18,16,13
86,05-20,14,14,12,14,19,11,14,14,15,11,13,15,14,15,12,14,15,17
87,05-19,11,12,9,8,16,7,8,10,13,9,10,14,9,7,9,11,8,9
88,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
89,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
90,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
91,05-22,28,29,27,30,34,20,24,30,31,28,29,31,30,23,24,30,25,18
92,05-21,18,22,18,19,21,7,13,22,22,22,18,16,12,8,12,18,16,13
93,05-20,14,14,12,14,19,11,14,14,15,11,13,15,14,15,12,14,15,17
94,05-19,11,12,9,8,16,7,8,10,13,9,10,14,9,7,9,11,8,9
95,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
96,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
97,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
98,05-22,28,29,27,30,34,20,24,30,31,28,29,31,30,23,24,30,25,18
99,05-21,18,22,18,19,21,7,13,22,22,22,18,16,12,8,12,18,16,13
100,05-20,14,14,12,14,19,11,14,14,15,11,13,15,14,15,12,14,15,17
101,05-19,11,12,9,8,16,7,8,10,13,9,10,14,9,7,9,11,8,9
102,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
103,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
104,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
