,날짜,전국,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,세종,경북,경남,제주
37,05-20,14,14,12,14,19,11,14,14,15,11,13,15,14,15,12,14,15,17
38,05-19,11,12,9,8,16,7,8,10,13,9,10,14,9,7,9,11,8,9
39,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
40,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
41,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
42,05-22,28,29,27,30,34,20,24,30,31,28,29,31,30,23,24,30,25,18
43,05-21,18,22,18,19,21,7,13,22,22,22,18,16,12,8,12,18,16,13
44,05-20,14,14,12,14,19,11,14,14,15,11,13,15,14,15,12,14,15,17
45,05-19,11,12,9,8,16,7,8,10,13,9,10,14,9,7,9,11,8,9
46,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
47,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
48,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
49,05-22,28,29,27,30,34,20,24,30,31,28,29,31,30,23,24,30,25,18
50,05-21,18,22,18,19,21,7,13,22,22,22,18,16,12,8,12,18,16,13
51,05-20,14,14,12,14,19,11,14,14,15,11,13,15,14,15,12,14,15,17
52,05-19,11,12,9,8,16,7,8,10,13,9,10,14,9,7,9,11,8,9
53,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
54,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
55,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
56,05-22,28,29,27,30,34,20,24,30,31,28,29,31,30,23,24,30,25,18
57,05-21,18,22,18,19,21,7,13,22,22,22,18,16,12,8,12,18,16,13
58,05-20,14,14,12,14,19,11,14,14,15,11,13,15,14,15,12,14,15,17
59,05-19,11,12,9,8,16,7,8,10,13,9,10,14,9,7,9,11,8,9
60,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
61,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
62,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
63,05-22,28,29,27,30,34,20,24,30,31,28,29,31,30,23,24,30,25,18
64,05-21,18,22,18,19,21,7,13,22,22,22,18,16,12,8,12,18,16,13
65,05-20,14,14,12,14,19,11,14,14,15,11,13,15,14,15,12,14,15,17
66,05-19,11,12,9,8,16,7,8,10,13,9,10,14,9,7,9,11,8,9
67,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
68,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
69,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
70,05-22,28,29,27,30,34,20,24,30,31,28,29,31,30,23,24,30,25,18
71,05-21,18,22,18,19,21,7,13,22,22,22,18,16,12,8,12,18,16,13
72,05-20,14,14,12,14,19,11,14,14,15,11,13,15,14,15,12,14,15,17
73,05-19,11,12,9,8,16,7,8,10,13,9,10,14,9,7,9,11,8,9
74,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
75,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
76,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
77,05-22,28,29,27,30,34,20,24,30,31,28,29,31,30,23,24,30,25,18
78,05-21,18,22,18,19,21,7,13,22,22,22,18,16,12,8,12,18,16,13
79,05-20,14,14,12,14,19,11,14,14,15,11,13,15,14,15,12,14,15,17
80,05-19,11,12,9,8,16,7,8,10,13,9,10,14,9,7,9,11,8,9
81,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
82,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
83,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
84,05-22,28,29,27,30,34,20,24,30,31,28,29,31,30,23,24,30,25,18
85,05-21,18,22,18,19,21,7,13,22,22,22,18,16,12,8,12,18,16,13
86,05-20,14,14,12,14,19,11,14,14,15,11,13,15,14,15,12,14,15,17
87,05-19,11,12,9,8,16,7,8,10,13,9,10,14,9,7,9,11,8,9
88,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
89,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
90,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
91,05-22,28,29,27,30,34,20,24,30,31,28,29,31,30,23,24,30,25,18
92,05-21,18,22,18,19,21,7,13,22,22,22,18,16,12,8,12,18,16,13
93,05-20,14,14,12,14,19,11,14,14,15,11,13,15,14,15,12,14,15,17
94,05-19,11,12,9,8,16,7,8,10,13,9,10,14,9,7,9,11,8,9
95,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
96,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
97,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
98,05-22,28,29,27,30,34,20,24,30,31,28,29,31,30,23,24,30,25,18
99,05-21,18,22,18,19,21,7,13,22,22,22,18,16,12,8,12,18,16,13
100,05-20,14,14,12,14,19,11,14,14,15,11,13,15,14,15,12,14,15,17
101,05-19,11,12,9,8,16,7,8,10,13,9,10,14,9,7,9,11,8,9
102,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
103,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
104,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
105,05-22,117,115,91,123,139,79,102,113,128,125,108,133,93,117,107,122,121,76
106,05-21,51,77,29,45,58,15,40,39,78,97,60,52,32,16,52,49,28,22
107,05-20,25,23,21,26,28,19,23,23,27,23,25,25,25,27,22,25,25,31
108,05-19,19,22,14,16,27,13,15,17,25,19,18,24,17,15,18,19,14,17
109,05-18,31,33,31,34,39,18,30,38,35,31,30,31,29,18,30,37,28,13
110,05-17,40,34,36,51,35,32,40,53,40,40,42,38,40,32,41,50,37,37
111,05-16,54,56,57,61,59,42,46,63,60,52,50,52,49,43,47,54,50,37
112,05-22,117,115,91,123,139,79,102,113,128,125,108,133,93,117,107,122,121,76
113,05-21,51,77,29,45,58,15,40,39,78,97,60,52,32,16,52,49,28,22
114,05-20,25,23,21,26,28,19,23,23,27,23,25,25,25,27,22,25,25,31
115,05-19,19,22,14,16,27,13,15,17,25,19,18,24,17,15,18,19,14,17
116,05-18,31,33,31,34,39,18,30,38,35,31,30,31,29,18,30,37,28,13
117,05-17,40,34,36,51,35,32,40,53,40,40,42,38,40,32,41,50,37,37
118,05-16,54,56,57,61,59,42,46,63,60,52,50,52,49,43,47,54,50,37
119,05-22,117,115,91,123,139,79,102,113,128,125,108,133,93,117,107,122,121,76
120,05-21,51,77,29,45,58,15,40,39,78,97,60,52,32,16,52,49,28,22
121,05-20,25,23,21,26,28,19,23,23,27,23,25,25,25,27,22,25,25,31
122,05-19,19,22,14,16,27,13,15,17,25,19,18,24,17,15,18,19,14,17
123,05-18,31,33,31,34,39,18,30,38,35,31,30,31,29,18,30,37,28,13
124,05-17,40,34,36,51,35,32,40,53,40,40,42,38,40,32,41,50,37,37
125,05-16,54,56,57,61,59,42,46,63,60,52,50,52,49,43,47,54,50,37
126,05-22,117,115,91,123,139,79,102,113,128,125,108,133,93,117,107,122,121,76
127,05-21,51,77,29,45,58,15,40,39,78,97,60,52,32,16,52,49,28,22
128,05-20,25,23,21,26,28,19,23,23,27,23,25,25,25,27,22,25,25,31
129,05-19,19,22,14,16,27,13,15,17,25,19,18,24,17,15,18,19,14,17
130,05-18,31,33,31,34,39,18,30,38,35,31,30,31,29,18,30,37,28,13
131,05-17,40,34,36,51,35,32,40,53,40,40,42,38,40,32,41,50,37,37
132,05-16,54,56,57,61,59,42,46,63,60,52,50,52,49,43,47,54,50,37
133,05-22,117,115,91,123,139,79,102,113,128,125,108,133,93,117,107,122,121,76
134,05-21,51,77,29,45,58,15,40,39,78,97,60,52,32,16,52,49,28,22
135,05-20,25,23,21,26,28,19,23,23,27,23,25,25,25,27,22,25,25,31
136,05-19,19,22,14,16,27,13,15,17,25,19,18,24,17,15,18,19,14,17
137,05-18,31,33,31,34,39,18,30,38,35,31,30,31,29,18,30,37,28,13
138,05-17,40,34,36,51,35,32,40,53,40,40,42,38,40,32,41,50,37,37
139,05-16,54,56,57,61,59,42,46,63,60,52,50,52,49,43,47,54,50,37
140,05-22,117,115,91,123,139,79,102,113,128,125,108,133,93,117,107,122,121,76
141,05-21,51,77,29,45,58,15,40,39,78,97,60,52,32,16,52,49,28,22
142,05-20,25,23,21,26,28,19,23,23,27,23,25,25,25,27,22,25,25,31
143,05-19,19,22,14,16,27,13,15,17,25,19,18,24,17,15,18,19,14,17
144,05-18,31,33,31,34,39,18,30,38,35,31,30,31,29,18,30,37,28,13
145,05-17,40,34,36,51,35,32,40,53,40,40,42,38,40,32,41,50,37,37
146,05-16,54,56,57,61,59,42,46,63,60,52,50,52,49,43,47,54,50,37
147,05-22,117,115,91,123,139,79,102,113,128,125,108,133,93,117,107,122,121,76
148,05-21,51,77,29,45,58,15,40,39,78,97,60,52,32,16,52,49,28,22
149,05-20,25,23,21,26,28,19,23,23,27,23,25,25,25,27,22,25,25,31
150,05-19,19,22,14,16,27,13,15,17,25,19,18,24,17,15,18,19,14,17
151,05-18,31,33,31,34,39,18,30,38,35,31,30,31,29,18,30,37,28,13
152,05-17,40,34,36,51,35,32,40,53,40,40,42,38,40,32,41,50,37,37
153,05-16,54,56,57,61,59,42,46,63,60,52,50,52,49,43,47,54,50,37
154,05-22,117,115,91,123,139,79,102,113,128,125,108,133,93,117,107,122,121,76
155,05-21,51,77,29,45,58,15,40,39,78,97,60,52,32,16,52,49,28,22
156,05-20,25,23,21,26,28,19,23,23,27,23,25,25,25,27,22,25,25,31
157,05-19,19,22,14,16,27,13,15,17,25,19,18,24,17,15,18,19,14,17
158,05-18,31,33,31,34,39,18,30,38,35,31,30,31,29,18,30,37,28,13
159,05-17,40,34,36,51,35,32,40,53,40,40,42,38,40,32,41,50,37,37
160,05-16,54,56,57,61,59,42,46,63,60,52,50,52,49,43,47,54,50,37
161,05-22,117,115,91,123,139,79,102,113,128,125,108,133,93,117,107,122,121,76
162,05-21,51,77,29,45,58,15,40,39,78,97,60,52,32,16,52,49,28,22
163,05-20,25,23,21,26,28,19,23,23,27,23,25,25,25,27,22,25,25,31
164,05-19,19,22,14,16,27,13,15,17,25,19,18,24,17,15,18,19,14,17
165,05-18,31,33,31,34,39,18,30,38,35,31,30,31,29,18,30,37,28,13
166,05-17,40,34,36,51,35,32,40,53,40,40,42,38,40,32,41,50,37,37
167,05-16,54,56,57,61,59,42,46,63,60,52,50,52,49,43,47,54,50,37
168,05-22,117,115,91,123,139,79,102,113,128,125,108,133,93,117,107,122,121,76
169,05-21,51,77,29,45,58,15,40,39,78,97,60,52,32,16,52,49,28,22
170,05-20,25,23,21,26,28,19,23,23,27,23,25,25,25,27,22,25,25,31
171,05-19,19,22,14,16,27,13,15,17,25,19,18,24,17,15,18,19,14,17
172,05-18,31,33,31,34,39,18,30,38,35,31,30,31,29,18,30,37,28,13
173,05-17,40,34,36,51,35,32,40,53,40,40,42,38,40,32,41,50,37,37
174,05-16,54,56,57,61,59,42,46,63,60,52,50,52,49,43,47,54,50,37
175,05-22,117,115,91,123,139,79,102,113,128,125,108,133,93,117,107,122,121,76
176,05-21,51,77,29,45,58,15,40,39,78,97,60,52,32,16,52,49,28,22
177,05-20,25,23,21,26,28,19,23,23,27,23,25,25,25,27,22,25,25,31
178,05-19,19,22,14,16,27,13,15,17,25,19,18,24,17,15,18,19,14,17
179,05-18,31,33,31,34,39,18,30,38,35,31,30,31,29,18,30,37,28,13
180,05-17,40,34,36,51,35,32,40,53,40,40,42,38,40,32,41,50,37,37
181,05-16,54,56,57,61,59,42,46,63,60,52,50,52,49,43,47,54,50,37
182,05-22,117,115,91,123,139,79,102,113,128,125,108,133,93,117,107,122,121,76
183,05-21,51,77,29,45,58,15,40,39,78,97,60,52,32,16,52,49,28,22
184,05-20,25,23,21,26,28,19,23,23,27,23,25,25,25,27,22,25,25,31
185,05-19,19,22,14,16,27,13,15,17,25,19,18,24,17,15,18,19,14,17
186,05-18,31,33,31,34,39,18,30,38,35,31,30,31,29,18,30,37,28,13
187,05-17,40,34,36,51,35,32,40,53,40,40,42,38,40,32,41,50,37,37
188,05-16,54,56,57,61,59,42,46,63,60,52,50,52,49,43,47,54,50,37
189,05-22,117,115,91,123,139,79,102,113,128,125,108,133,93,117,107,122,121,76
190,05-21,51,77,29,45,58,15,40,39,78,97,60,52,32,16,52,49,28,22
191,05-20,25,23,21,26,28,19,23,23,27,23,25,25,25,27,22,25,25,31
192,05-19,19,22,14,16,27,13,15,17,25,19,18,24,17,15,18,19,14,17
193,05-18,31,33,31,34,39,18,30,38,35,31,30,31,29,18,30,37,28,13
194,05-17,40,34,36,51,35,32,40,53,40,40,42,38,40,32,41,50,37,37
195,05-16,54,56,57,61,59,42,46,63,60,52,50,52,49,43,47,54,50,37
196,05-22,117,115,91,123,139,79,102,113,128,125,108,133,93,117,107,122,121,76
197,05-21,51,77,29,45,58,15,40,39,78,97,60,52,32,16,52,49,28,22
198,05-20,25,23,21,26,28,19,23,23,27,23,25,25,25,27,22,25,25,31
199,05-19,19,22,14,16,27,13,15,17,25,19,18,24,17,15,18,19,14,17
200,05-18,31,33,31,34,39,18,30,38,35,31,30,31,29,18,30,37,28,13
201,05-17,40,34,36,51,35,32,40,53,40,40,42,38,40,32,41,50,37,37
202,05-16,54,56,57,61,59,42,46,63,60,52,50,52,49,43,47,54,50,37
203,05-22,117,115,91,123,139,79,102,113,128,125,108,133,93,117,107,122,121,76
204,05-21,51,77,29,45,58,15,40,39,78,97,60,52,32,16,52,49,28,22
205,05-20,25,23,21,26,28,19,23,23,27,23,25,25,25,27,22,25,25,31
206,05-19,19,22,14,16,27,13,15,17,25,19,18,24,17,15,18,19,14,17
207,05-18,31,33,31,34,39,18,30,38,35,31,30,31,29,18,30,37,28,13
208,05-17,40,34,36,51,35,32,40,53,40,40,42,38,40,32,41,50,37,37
209,05-16,54,56,57,61,59,42,46,63,60,52,50,52,49,43,47,54,50,37
210,05-22,0.034,0.033,0.029,0.036,0.032,0.029,0.033,0.037,0.032,0.040,0.036,0.037,0.034,0.034,0.031,0.037,0.034,0.044
211,05-21,0.048,0.047,0.045,0.047,0.048,0.047,0.047,0.045,0.049,0.054,0.048,0.051,0.050,0.044,0.045,0.050,0.044,0.049
212,05-20,0.045,0.046,0.047,0.045,0.046,0.045,0.041,0.044,0.045,0.043,0.043,0.048,0.047,0.043,0.040,0.040,0.041,0.050
213,05-19,0.044,0.044,0.047,0.042,0.046,0.039,0.044,0.047,0.043,0.044,0.046,0.049,0.042,0.040,0.041,0.045,0.041,0.050
214,05-18,0.039,0.033,0.040,0.040,0.033,0.046,0.038,0.034,0.034,0.041,0.040,0.041,0.042,0.044,0.036,0.042,0.037,0.055
215,05-17,0.050,0.044,0.048,0.059,0.043,0.052,0.048,0.052,0.046,0.059,0.051,0.053,0.053,0.047,0.046,0.060,0.048,0.054
216,05-16,0.066,0.074,0.068,0.075,0.078,0.058,0.056,0.059,0.070,0.076,0.062,0.070,0.061,0.056,0.055,0.066,0.066,0.058
217,05-22,0.034,0.033,0.029,0.036,0.032,0.029,0.033,0.037,0.032,0.040,0.036,0.037,0.034,0.034,0.031,0.037,0.034,0.044
218,05-21,0.048,0.047,0.045,0.047,0.048,0.047,0.047,0.045,0.049,0.054,0.048,0.051,0.050,0.044,0.045,0.050,0.044,0.049
219,05-20,0.045,0.046,0.047,0.045,0.046,0.045,0.041,0.044,0.045,0.043,0.043,0.048,0.047,0.043,0.040,0.040,0.041,0.050
220,05-19,0.044,0.044,0.047,0.042,0.046,0.039,0.044,0.047,0.043,0.044,0.046,0.049,0.042,0.040,0.041,0.045,0.041,0.050
221,05-18,0.039,0.033,0.040,0.040,0.033,0.046,0.038,0.034,0.034,0.041,0.040,0.041,0.042,0.044,0.036,0.042,0.037,0.055
222,05-17,0.050,0.044,0.048,0.059,0.043,0.052,0.048,0.052,0.046,0.059,0.051,0.053,0.053,0.047,0.046,0.060,0.048,0.054
223,05-16,0.066,0.074,0.068,0.075,0.078,0.058,0.056,0.059,0.070,0.076,0.062,0.070,0.061,0.056,0.055,0.066,0.066,0.058
224,05-22,0.034,0.033,0.029,0.036,0.032,0.029,0.033,0.037,0.032,0.040,0.036,0.037,0.034,0.034,0.031,0.037,0.034,0.044
225,05-21,0.048,0.047,0.045,0.047,0.048,0.047,0.047,0.045,0.049,0.054,0.048,0.051,0.050,0.044,0.045,0.050,0.044,0.049
226,05-20,0.045,0.046,0.047,0.045,0.046,0.045,0.041,0.044,0.045,0.043,0.043,0.048,0.047,0.043,0.040,0.040,0.041,0.050
227,05-19,0.044,0.044,0.047,0.042,0.046,0.039,0.044,0.047,0.043,0.044,0.046,0.049,0.042,0.040,0.041,0.045,0.041,0.050
228,05-18,0.039,0.033,0.040,0.040,0.033,0.046,0.038,0.034,0.034,0.041,0.040,0.041,0.042,0.044,0.036,0.042,0.037,0.055
229,05-17,0.050,0.044,0.048,0.059,0.043,0.052,0.048,0.052,0.046,0.059,0.051,0.053,0.053,0.047,0.046,0.060,0.048,0.054
230,05-16,0.066,0.074,0.068,0.075,0.078,0.058,0.056,0.059,0.070,0.076,0.062,0.070,0.061,0.056,0.055,0.066,0.066,0.058
231,05-22,0.034,0.033,0.029,0.036,0.032,0.029,0.033,0.037,0.032,0.040,0.036,0.037,0.034,0.034,0.031,0.037,0.034,0.044
232,05-21,0.048,0.047,0.045,0.047,0.048,0.047,0.047,0.045,0.049,0.054,0.048,0.051,0.050,0.044,0.045,0.050,0.044,0.049
233,05-20,0.045,0.046,0.047,0.045,0.046,0.045,0.041,0.044,0.045,0.043,0.043,0.048,0.047,0.043,0.040,0.040,0.041,0.050
234,05-19,0.044,0.044,0.047,0.042,0.046,0.039,0.044,0.047,0.043,0.044,0.046,0.049,0.042,0.040,0.041,0.045,0.041,0.050
235,05-18,0.039,0.033,0.040,0.040,0.033,0.046,0.038,0.034,0.034,0.041,0.040,0.041,0.042,0.044,0.036,0.042,0.037,0.055
236,05-17,0.050,0.044,0.048,0.059,0.043,0.052,0.048,0.052,0.046,0.059,0.051,0.053,0.053,0.047,0.046,0.060,0.048,0.054
237,05-16,0.066,0.074,0.068,0.075,0.078,0.058,0.056,0.059,0.070,0.076,0.062,0.070,0.061,0.056,0.055,0.066,0.066,0.058
238,05-22,0.034,0.033,0.029,0.036,0.032,0.029,0.033,0.037,0.032,0.040,0.036,0.037,0.034,0.034,0.031,0.037,0.034,0.044
239,05-21,0.048,0.047,0.045,0.047,0.048,0.047,0.047,0.045,0.049,0.054,0.048,0.051,0.050,0.044,0.045,0.050,0.044,0.049
240,05-20,0.045,0.046,0.047,0.045,0.046,0.045,0.041,0.044,0.045,0.043,0.043,0.048,0.047,0.043,0.040,0.040,0.041,0.050
241,05-19,0.044,0.044,0.047,0.042,0.046,0.039,0.044,0.047,0.043,0.044,0.046,0.049,0.042,0.040,0.041,0.045,0.041,0.050
242,05-18,0.039,0.033,0.040,0.040,0.033,0.046,0.038,0.034,0.034,0.041,0.040,0.041,0.042,0.044,0.036,0.042,0.037,0.055
243,05-17,0.050,0.044,0.048,0.059,0.043,0.052,0.048,0.052,0.046,0.059,0.051,0.053,0.053,0.047,0.046,0.060,0.048,0.054
244,05-16,0.066,0.074,0.068,0.075,0.078,0.058,0.056,0.059,0.070,0.076,0.062,0.070,0.061,0.056,0.055,0.066,0.066,0.058
245,05-22,0.034,0.033,0.029,0.036,0.032,0.029,0.033,0.037,0.032,0.040,0.036,0.037,0.034,0.034,0.031,0.037,0.034,0.044
246,05-21,0.048,0.047,0.045,0.047,0.048,0.047,0.047,0.045,0.049,0.054,0.048,0.051,0.050,0.044,0.045,0.050,0.044,0.049
247,05-20,0.045,0.046,0.047,0.045,0.046,0.045,0.041,0.044,0.045,0.043,0.043,0.048,0.047,0.043,0.040,0.040,0.041,0.050
248,05-19,0.044,0.044,0.047,0.042,0.046,0.039,0.044,0.047,0.043,0.044,0.046,0.049,0.042,0.040,0.041,0.045,0.041,0.050
249,05-18,0.039,0.033,0.040,0.040,0.033,0.046,0.038,0.034,0.034,0.041,0.040,0.041,0.042,0.044,0.036,0.042,0.037,0.055
250,05-17,0.050,0.044,0.048,0.059,0.043,0.052,0.048,0.052,0.046,0.059,0.051,0.053,0.053,0.047,0.046,0.060,0.048,0.054
251,05-16,0.066,0.074,0.068,0.075,0.078,0.058,0.056,0.059,0.070,0.076,0.062,0.070,0.061,0.056,0.055,0.066,0.066,0.058
252,05-22,0.034,0.033,0.029,0.036,0.032,0.029,0.033,0.037,0.032,0.040,0.036,0.037,0.034,0.034,0.031,0.037,0.034,0.044
253,05-21,0.048,0.047,0.045,0.047,0.048,0.047,0.047,0.045,0.049,0.054,0.048,0.051,0.050,0.044,0.045,0.050,0.044,0.049
254,05-20,0.045,0.046,0.047,0.045,0.046,0.045,0.041,0.044,0.045,0.043,0.043,0.048,0.047,0.043,0.040,0.040,0.041,0.050
255,05-19,0.044,0.044,0.047,0.042,0.046,0.039,0.044,0.047,0.043,0.044,0.046,0.049,0.042,0.040,0.041,0.045,0.041,0.050
256,05-18,0.039,0.033,0.040,0.040,0.033,0.046,0.038,0.034,0.034,0.041,0.040,0.041,0.042,0.044,0.036,0.042,0.037,0.055
257,05-17,0.050,0.044,0.048,0.059,0.043,0.052,0.048,0.052,0.046,0.059,0.051,0.053,0.053,0.047,0.046,0.060,0.048,0.054
258,05-16,0.066,0.074,0.068,0.075,0.078,0.058,0.056,0.059,0.070,0.076,0.062,0.070,0.061,0.056,0.055,0.066,0.066,0.058
259,05-22,0.034,0.033,0.029,0.036,0.032,0.029,0.033,0.037,0.032,0.040,0.036,0.037,0.034,0.034,0.031,0.037,0.034,0.044
260,05-21,0.048,0.047,0.045,0.047,0.048,0.047,0.047,0.045,0.049,0.054,0.048,0.051,0.050,0.044,0.045,0.050,0.044,0.049
261,05-20,0.045,0.046,0.047,0.045,0.046,0.045,0.041,0.044,0.045,0.043,0.043,0.048,0.047,0.043,0.040,0.040,0.041,0.050
262,05-19,0.044,0.044,0.047,0.042,0.046,0.039,0.044,0.047,0.043,0.044,0.046,0.049,0.042,0.040,0.041,0.045,0.041,0.050
263,05-18,0.039,0.033,0.040,0.040,0.033,0.046,0.038,0.034,0.034,0.041,0.040,0.041,0.042,0.044,0.036,0.042,0.037,0.055
264,05-17,0.050,0.044,0.048,0.059,0.043,0.052,0.048,0.052,0.046,0.059,0.051,0.053,0.053,0.047,0.046,0.060,0.048,0.054
265,05-16,0.066,0.074,0.068,0.075,0.078,0.058,0.056,0.059,0.070,0.076,0.062,0.070,0.061,0.056,0.055,0.066,0.066,0.058
266,05-22,0.034,0.033,0.029,0.036,0.032,0.029,0.033,0.037,0.032,0.040,0.036,0.037,0.034,0.034,0.031,0.037,0.034,0.044
267,05-21,0.048,0.047,0.045,0.047,0.048,0.047,0.047,0.045,0.049,0.054,0.048,0.051,0.050,0.044,0.045,0.050,0.044,0.049
268,05-20,0.045,0.046,0.047,0.045,0.046,0.045,0.041,0.044,0.045,0.043,0.043,0.048,0.047,0.043,0.040,0.040,0.041,0.050
269,05-19,0.044,0.044,0.047,0.042,0.046,0.039,0.044,0.047,0.043,0.044,0.046,0.049,0.042,0.040,0.041,0.045,0.041,0.050
270,05-18,0.039,0.033,0.040,0.040,0.033,0.046,0.038,0.034,0.034,0.041,0.040,0.041,0.042,0.044,0.036,0.042,0.037,0.055
271,05-17,0.050,0.044,0.048,0.059,0.043,0.052,0.048,0.052,0.046,0.059,0.051,0.053,0.053,0.047,0.046,0.060,0.048,0.054
272,05-16,0.066,0.074,0.068,0.075,0.078,0.058,0.056,0.059,0.070,0.076,0.062,0.070,0.061,0.056,0.055,0.066,0.066,0.058
273,05-22,0.034,0.033,0.029,0.036,0.032,0.029,0.033,0.037,0.032,0.040,0.036,0.037,0.034,0.034,0.031,0.037,0.034,0.044
